symbol,symbolName,fullName,shortJobTitle,transactionType,amount,reportedPrice,usdValue,eodHolding,transactionDate,symbolCode,hasOptions,symbolType
AEVA,Aeva Technologies Inc,Mina Rezk,Chair & CTO,Sell,"119,606",13.44960,"1,608,653","4,662,337",11/10/25,STK,Yes,1
AEVA,Aeva Technologies Inc,Soroush Salehian Dardashti,CEO,Sell,"54,407",13.44910,"731,725","3,978,263",11/10/25,STK,Yes,1
AHR,American Healthcare REIT Inc,Jeffrey T Hanson,Chair,Sell,"20,010",49.68040,"994,105","21,798",11/10/25,STK,Yes,1
U,Unity Software Inc,Jarrod Yahes,CFO,Sell,"14,914",42.75000,"637,574","608,590",11/10/25,STK,Yes,1
MCFT,Mastercraft Boat Holdings Inc,American Shareholder,N/A,Sell,"103,857",20.42600,"2,121,384","1,699,118",11/10/25,STK,Yes,1
EVC,Entravision Communications Corp,Alexandra Seros,N/A,Sell,"250,000",2.79850,"699,625","13,392,432",11/10/25,STK,Yes,1
ALEX,Alexander and Baldwin Inc,Meredith J Ching,Div. EVP,Sell,700,15.48190,"10,837","147,144",11/10/25,STK,Yes,1
PAHC,Phibro Anl Htlh A,Jack C Bendheim,Chair & CEO,Sell,"41,823",45.08560,"1,885,615","37,417",11/10/25,STK,Yes,1
SNOW,Snowflake Inc Cl A,Emily Ho,CAO,Award,"15,417",0.00000,"4,052,513","47,162",11/10/25,STK,Yes,1
DXCM,Dexcom Inc,Jacob S Leach,Pre./Int. CEO,Buy,"18,200",55.03860,"1,001,702","378,993",11/10/25,STK,Yes,1
DXCM,Dexcom Inc,Richard Alexander Collins,N/A,Sell,"3,948",55.17000,"217,812","43,068",11/10/25,STK,Yes,1
RXO,Rxo Inc,Andrew M Wilkerson,CEO,Buy,"11,625",12.85350,"149,422","283,392",11/10/25,STK,Yes,1
TEAM,Atlassian Corp,Michael Cannon-Brookes,CEO,Sell,"7,665",157.99900,"1,211,062","268,275",11/10/25,STK,Yes,1
TEAM,Atlassian Corp,Scott Farquhar,N/A,Sell,"7,665",157.99920,"1,211,064","268,275",11/10/25,STK,Yes,1
VRT,Vertiv Holdings Llc.,Craig Chamberlin,CFO,Award,"5,593",0.00000,"1,005,622","5,593",11/10/25,STK,Yes,1
COP,Conocophillips,William H Mcraven,N/A,Buy,"5,768",86.67990,"500,000","5,768",11/10/25,STK,Yes,1
KNTK,Kinetik Holdings Inc,Jamie Welch,CEO,Buy,"8,000",34.57000,"276,560","3,691,025",11/10/25,STK,Yes,1
CRSR,Corsair Gaming Inc,Sarah Mears Kim,N/A,Sell,"5,263",6.42000,"33,789","21,312",11/10/25,STK,Yes,1
ZWS,Zurn Elkay Water Solutions Corp,Timothy Jahnke,N/A,Sell,"18,000",47.50590,"855,106","468,864",11/10/25,STK,Yes,1
RDW,Redwire Corp,Peter Anthony Cannito jr,Chair & CEO,Buy,"32,155",6.20970,"199,673","526,728",11/10/25,STK,Yes,1
KMI,Kinder Morgan Inc,John W Schlosser,Div. Pres.,Sell,"6,166",27.00000,"166,482","213,536",11/10/25,STK,Yes,1
USNA,Usana Health Sciences Inc,Frederic J Winssinger,N/A,Sell,943,19.21000,"18,115","5,986",11/10/25,STK,Yes,1
LYRA,Lyra Therapeutics Inc,American Shareholder,N/A,Sell,"70,390",4.89020,"344,221","184,760",11/10/25,STK,No,1
IMAX,Imax Corp,Pablo Calamera,CTO,Sell,"20,586",34.22550,"704,566","40,886",11/10/25,STK,Yes,1
SCKT,Socket Mobile,Charlie Bass,N/A,Buy,"10,000",1.09320,"10,931","1,633,151",11/10/25,STK,No,1
GWRE,Guidewire Software Inc,Michael (Mike) George Rosenbaum,CEO,Sell,"1,400",218.53000,"305,942","253,758",11/10/25,STK,Yes,1
AROC,Archrock Inc,Eric W Thode,Ops,Sell,"40,740",25.09900,"1,022,534","184,216",11/10/25,STK,Yes,1
UWMC,Uwm Hldg Corp,Mat Ishbia,Chair & CEO,Sell,"1,789,068",5.30000,"9,482,060","4,127,177",11/10/25,STK,Yes,1
ENPH,Enphase Energy Inc,Badrinarayanan Kothandaraman,CEO,Buy,"5,000",30.68770,"153,439","1,706,452",11/10/25,STK,Yes,1
GMED,Globus Medical Inc,Ann D Rhoads,N/A,Sell,"10,000",81.80000,"817,999","15,384",11/10/25,STK,Yes,1
LEVI,Levi Strauss & Company Cl A,David Jedrzejek,Gen Cou,Sell,"4,341",20.60000,"89,425","93,571",11/10/25,STK,Yes,1
MMLP,Martin Midstrm LP,American Shareholder,N/A,Buy,"28,114",2.58430,"72,655","2,734,952",11/10/25,STK,Yes,1
AGNC,Agnc Investment Corp,Bernice E Bell,CFO,Sell,"20,000",10.26750,"205,350","339,719",11/10/25,STK,Yes,1
FDBC,Fidelity D & D Bancorp Inc,Daniel J Santaniello,CEO,Buy,"1,000",44.50000,"44,501","60,411",11/10/25,STK,No,1
FDBC,Fidelity D & D Bancorp Inc,William Joyce jr,N/A,Buy,"1,000",44.50000,"44,501","18,436",11/10/25,STK,No,1
FDBC,Fidelity D & D Bancorp Inc,Brian J Cali,Chair,Buy,"1,951",44.50000,"86,820","419,589",11/10/25,STK,No,1
EQBK,Equity Bncsrs Cm A,Leon Borck,N/A,Buy,250,41.57000,"10,392","40,112",11/10/25,STK,Yes,1
UVSP,Univest Corp of Penn,Natalye Paquin,N/A,Buy,655,29.80870,"19,525","27,515",11/10/25,STK,Yes,1
APLD,Applied Digital Corp,Douglas S Miller,N/A,Award,"7,747",0.00000,"240,002","218,859",11/09/25,STK,Yes,1
APLD,Applied Digital Corp,Ella Gendel Benson,N/A,Award,"7,747",0.00000,"240,002","77,003",11/09/25,STK,Yes,1
APLD,Applied Digital Corp,Chuck Hastings,N/A,Award,"7,747",0.00000,"240,002","434,359",11/09/25,STK,Yes,1
APLD,Applied Digital Corp,Rachel H Lee,N/A,Award,"7,747",0.00000,"240,002","67,147",11/09/25,STK,Yes,1
APLD,Applied Digital Corp,Dr Richard N Nottenburg,N/A,Award,"7,747",0.00000,"240,002","256,984",11/09/25,STK,Yes,1
ARHS,Arhaus Inc Cl A,Kathy E Veltri,Retail,Award,"16,667",0.00000,"164,003","440,093",11/09/25,STK,Yes,1
ARHS,Arhaus Inc Cl A,Jennifer E Porter,CMO,Award,"16,667",0.00000,"164,003","470,234",11/09/25,STK,Yes,1
WTS,Watts Water Technologies,Suzanne Stefany,N/A,Award,351,0.00000,"95,896",351,11/09/25,STK,Yes,1
KAR,Openlane Inc,James P Coyle,Div. Pres,Award,"4,287",0.00000,"107,604","39,409",11/08/25,STK,Yes,1
CRSR,Corsair Gaming Inc,Samuel R Szteinbaum,N/A,Buy,"100,000",6.58770,"658,771","420,267",11/07/25,STK,Yes,1
TRIN,Trinity Capital Inc,Steve Louis Brown,Chair,Buy,"6,100",14.41480,"87,931","1,360,812",11/07/25,STK,Yes,1
ORA,Ormat Technologies,Ofer Benyosef,Div. EVP,Sell,511,113.30000,"57,896","1,110",11/07/25,STK,Yes,1
ORA,Ormat Technologies,Isaac Angel,Chair,Sell,"18,018",112.42470,"2,025,668","29,650",11/07/25,STK,Yes,1
ORA,Ormat Technologies,Ravit Barniv,N/A,Sell,"1,753",112.54000,"197,282",0,11/07/25,STK,Yes,1
ORA,Ormat Technologies,Assi Ginzburg,CFO,Sell,"20,000",112.72500,"2,254,499","4,482",11/07/25,STK,Yes,1
HLNE,Hamilton Lane Inc Cl A,Juan Delgado-Moreira,Co CEO,Buy,"8,000",130.35400,"1,042,832","1,328,822",11/07/25,STK,Yes,1
SNOW,Snowflake Inc Cl A,Michael L Speiser,Lead Dir.,Sell,"50,741",257.30300,"13,055,812","2,038,400",11/07/25,STK,Yes,1
KALU,Kaiser Aluminum,Blain Tiffany,Sales & Mktg,Sell,"8,656",93.92300,"812,997","26,275",11/07/25,STK,Yes,1
PRMB,Primo Water Corp,Eric J Foss,Chair & CEO,Award,"207,468",0.00000,"2,999,987","232,017",11/07/25,STK,Yes,1
GH,Guardant Health Inc,Manuel Hidalgo Medina,N/A,Sell,500,95.18680,"47,593",815,11/07/25,STK,Yes,1
GH,Guardant Health Inc,John Saia,CLO,Sell,"8,996",96.25000,"865,866","43,172",11/07/25,STK,Yes,1
MU,Micron Technology,Sanjay Mehrotra,CEO & Chair,Sell,"12,500",238.96070,"2,987,009","1,071,578",11/07/25,STK,Yes,1
FORM,Formfactor Inc,"Dr, Michael Slessor",CEO,Award,"5,908",0.00000,"308,693","541,673",11/07/25,STK,Yes,1
MYPS,Playstudios Inc,Scott Edward Peterson,CFO,Sell,"30,000",0.79000,"23,701","575,837",11/07/25,STK,Yes,1
HOOD,Robinhood Markets Inc Cl A,Baiju Bhatt,N/A,Sell,"1,330,000",128.46870,"170,863,372",887,11/07/25,STK,Yes,1
IFF,International Flavors & Fragrances,Kevin O'byrne,Chair,Award,"8,750",0.00000,"542,500","22,946",11/07/25,STK,Yes,1
UNM,Unumprovident Corp,Christopher W Pyne,Div. EVP,Sell,"4,000",78.03710,"312,148","50,972",11/07/25,STK,Yes,1
ALKT,Alkami Technology Inc,Alex Shootman,CEO,Award,"45,000",0.00000,"875,250","841,563",11/07/25,STK,Yes,1
GO,Grocery Outlet Holding Corp,Steven K Wilson,Purchasing,Sell,"25,000",12.53000,"313,250","116,923",11/07/25,STK,Yes,1
EA,Electronic Arts Inc,Eric Kelly,CAO,Sell,"4,000",200.51220,"802,049","6,591",11/07/25,STK,Yes,1
SWKS,Skyworks Solutions,Reza Kasnavi,COO & CTO,Award,"8,581",0.00000,"597,067","30,040",11/07/25,STK,Yes,1
EXOD,Exodus Movement Inc,Gerardo Di Giacomo,Div. Off.,Award,"16,064",0.00000,"347,304","79,708",11/07/25,STK,No,1
BBIO,Bridgebio Pharma Inc,Neil Kumar,CEO,Sell,"80,000",62.28890,"4,983,112","5,617,223",11/07/25,STK,Yes,1
EXPD,Expeditors Intl,Dr Mark A Emmert,N/A,Sell,"5,400",135.25000,"730,350","6,468",11/07/25,STK,Yes,1
AFG,American Financial Group,Brian S Hertzman,CFO,Sell,"1,777",142.51010,"253,240","16,967",11/07/25,STK,Yes,1
LINE,Lineage Inc,Robert C Crisci,CFO,Buy,"10,000",34.56300,"345,630","107,859",11/07/25,STK,Yes,1
GLXY,Galaxy Digital Holdings,Douglas R Deason,N/A,Buy,"10,000",29.59180,"295,918","33,482",11/07/25,STK,Yes,1
FSLR,First Solar Inc,Paul H Stebbins,N/A,Sell,"7,000",262.40060,"1,836,804","15,287",11/07/25,STK,Yes,1
GLRE,Greenlight Cap. Re.,Greg Richardson,CEO,Buy,"50,000",12.74600,"637,300","80,091",11/07/25,STK,Yes,1
BVS,Bioventus Inc Cl A,Michelle Mcmurry-Heath,N/A,Sell,"17,701",7.41510,"131,255","56,997",11/07/25,STK,Yes,1
THRY,Thryv Holdings Inc,Joe A Walsh,Chair & CEO,Buy,"25,000",6.51000,"162,750","2,235,438",11/07/25,STK,Yes,1
FSTR,Foster L B Company,Brian H Kelly,Sr. Adviser,Sell,"10,000",27.15000,"271,500","79,558",11/07/25,STK,Yes,1
CHRD,Chord Energy Corp,Samantha Holroyd,N/A,Buy,"1,250",85.50000,"106,875","17,706",11/07/25,STK,Yes,1
QCOM,Qualcomm Inc,Lord Heather Ace,CHRO,Sell,"1,600",172.87000,"276,592","36,105",11/07/25,STK,Yes,1
QCOM,Qualcomm Inc,Patricia Y Grech,CAO,Sell,203,172.87000,"35,093",0,11/07/25,STK,Yes,1
